"ParasiteCheckedBinomial","close","sexual","vertical","closenonsexual","nonclose","environment","soil","water","feces","vector","intermediate","direct","indirect","Par.Type","Par.Phylum","Par.Class"
"Crenosoma melesi",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Crenosoma petrowi",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Crenosoma taiga",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Crenosoma vulpis",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Crenosoma zederi",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
"Crepidostomum cooperi",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Crossocephalus viviparus",0,0,0,0,0,0,0,0,0,0,0,0,0,"Helminth","Nematoda",""
"Cruzia americana",0,0,0,0,1,0,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cryptococcus albidus",0,0,0,0,1,0,0,0,0,0,0,0,1,"Fungus","Basidiomycota","Tremellomycetes"
"Cryptococcus diffluens",0,0,0,0,1,0,0,0,0,0,0,0,1,"Fungus","Basidiomycota","Tremellomycetes"
"Cryptococcus laurentii",0,0,0,0,1,0,0,0,0,0,0,0,1,"Fungus","Basidiomycota","Tremellomycetes"
"Cryptocotyle concavum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Cryptocotyle jejunum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Cryptocotyle lingua",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Cryptosporidium parvum",1,0,0,0,1,1,0,1,1,0,0,1,0,"Protozoa","Apicomplexa","Coccidia"
"Ctenocephalides canis",1,0,0,1,1,1,0,0,0,0,0,1,0,"Arthropod","Arthropoda","Insecta"
"Ctenocephalides connatus",1,0,0,1,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Ctenocephalides felis",1,0,0,1,1,1,0,0,0,0,0,1,0,"Arthropod","Arthropoda","Insecta"
"Ctenophthalmus pseudagyrtes",1,0,0,1,1,1,0,0,0,0,0,0,0,"Arthropod","Arthropoda","Insecta"
"Cyathostomum alveatum",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cyathostomum catinatum",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
